,profit
141,0.08615520099999974
142,0.08615520099999974
143,0.08615520099999974
144,0.08615520099999974
145,0.08615520099999974
146,0.08615520099999974
147,0.08615520099999974
148,0.08615520099999974
149,0.08615520099999974
150,0.08615520099999974
151,0.08615520099999974
152,0.08615520099999974
153,0.08615520099999974
154,0.08615520099999974
155,0.08615520099999974
156,0.08615520099999974
157,0.08615520099999974
158,0.08615520099999974
159,0.08615520099999974
160,0.08615520099999974
161,0.08615520099999974
162,0.08615520099999974
163,0.08615520099999974
164,0.08615520099999974
165,0.08615520099999974
166,0.08615520099999974
167,0.07424611299999939
168,0.07424611299999939
169,0.07424611299999939
170,0.07424611299999939
171,0.07424611299999939
172,0.07424611299999939
173,0.07479583799999934
174,0.07427010099999953
175,0.07479088099999975
176,0.0718773899999996
177,0.07270495799999965
178,0.0757807979999996
179,0.08064818699999976
180,0.08064818699999976
181,0.07232235999999959
182,0.0819038799999996
183,0.0819038799999996
184,0.0819038799999996
185,0.08024478099999977
186,0.07709817399999985
187,0.07749475399999994
188,0.08007882999999993
189,0.08007882999999993
190,0.08007882999999993
191,0.08007882999999993
192,0.08007882999999993
193,0.08007882999999993
194,0.08007882999999993
195,0.08007882999999993
196,0.08007882999999993
197,0.08007882999999993
198,0.06910151399999998
199,0.06910151399999998
200,0.06910151399999998
201,0.06910151399999998
202,0.06910151399999998
203,0.06910151399999998
204,0.06910151399999998
205,0.06910151399999998
206,0.06910151399999998
207,0.06910151399999998
208,0.06910151399999998
209,0.06910151399999998
210,0.06910151399999998
211,0.06910151399999998
212,0.06910151399999998
213,0.06910151399999998
214,0.06910151399999998
215,0.06910151399999998
216,0.06910151399999998
217,0.06910151399999998
218,0.06910151399999998
219,0.06910151399999998
220,0.06910151399999998
221,0.06910151399999998
222,0.06910151399999998
223,0.06910151399999998
224,0.06910151399999998
225,0.12755659400000008
226,0.13161136500000015
227,0.12449876500000023
228,0.12449876500000023
229,0.12449876500000023
230,0.12449876500000023
231,0.12449876500000023
232,0.14204135499999992
233,0.14204135499999992
234,0.14204135499999992
235,0.14204135499999992
236,0.14204135499999992
237,0.14204135499999992
238,0.14204135499999992
239,0.14204135499999992
240,0.14204135499999992
241,0.14204135499999992
242,0.14876846500000007
243,0.13030156900000023
244,0.13030156900000023
245,0.13030156900000023
246,0.14099775100000045
247,0.14099775100000045
248,0.14099775100000045
249,0.14099775100000045
250,0.14099775100000045
251,0.14099775100000045
252,0.14099775100000045
253,0.14099775100000045
254,0.14099775100000045
255,0.14099775100000045
256,0.14099775100000045
257,0.14099775100000045
258,0.14099775100000045
259,0.14099775100000045
260,0.14881826200000026
261,0.14881826200000026
262,0.14881826200000026
263,0.14881826200000026
264,0.14881826200000026
265,0.14881826200000026
266,0.14881826200000026
267,0.14881826200000026
268,0.11743930800000046
269,0.11743930800000046
270,0.10963850300000044
271,0.10963850300000044
272,0.10963850300000044
273,0.10963850300000044
274,0.10963850300000044
275,0.10963850300000044
276,0.10963850300000044
277,0.10963850300000044
278,0.10963850300000044
279,0.10963850300000044
280,0.11604803300000044
281,0.11699514400000055
282,0.11666295500000046
283,0.11436844000000046
284,0.1200844360000004
285,0.1200844360000004
286,0.11740876300000047
287,0.11740876300000047
288,0.1143910230000007
289,0.11490113600000096
290,0.11488688800000069
291,0.11488688800000069
292,0.11488688800000069
293,0.11488688800000069
294,0.11488688800000069
295,0.11195665400000077
296,0.11195665400000077
297,0.11195665400000077
298,0.11195665400000077
299,0.11195665400000077
300,0.11267176200000106
301,0.11107563600000114
302,0.11107563600000114
303,0.11107563600000114
304,0.10700642800000093
305,0.10700642800000093
306,0.10700642800000093
307,0.11031842800000091
308,0.11275990800000102
309,0.11275990800000102
310,0.11275990800000102
311,0.11275990800000102
312,0.11275990800000102
313,0.07679987700000113
314,0.07679987700000113
315,0.07679987700000113
316,0.07679987700000113
317,0.07679987700000113
318,0.07679987700000113
319,0.07679987700000113
320,0.07679987700000113
321,0.07162427700000107
322,0.07271871900000115
323,0.07271871900000115
324,0.07276289200000119
325,0.06885755000000104
326,0.07087632200000082
327,0.07087632200000082
328,0.07087632200000082
329,0.07087632200000082
330,0.07087632200000082
331,0.0662428680000009
332,0.0662428680000009
333,0.06503499200000107
334,0.06403196900000108
335,0.06410840900000125
336,0.06410840900000125
337,0.06410840900000125
338,0.06427520500000128
339,0.06427520500000128
340,0.06427520500000128
341,0.06427520500000128
342,0.06427520500000128
343,0.05738588100000119
344,0.05738588100000119
345,0.05738588100000119
346,0.05738588100000119
347,0.05738588100000119
348,0.05738588100000119
349,0.05738588100000119
350,0.05738588100000119
351,0.05622726300000114
352,0.05466771600000109
353,0.05466771600000109
354,0.05466771600000109
355,0.05466771600000109
356,0.05466771600000109
357,0.05466771600000109
358,0.05466771600000109
359,0.05466771600000109
360,0.05466771600000109
361,0.05466771600000109
362,0.05466771600000109
363,0.07770293100000103
364,0.07770293100000103
365,0.07770293100000103
366,0.07770293100000103
367,0.07770293100000103
368,0.07770293100000103
369,0.07279261500000112
370,0.07521148700000113
371,0.07481648500000104
372,0.07481648500000104
373,0.07455527300000098
374,0.07455527300000098
375,0.07227790300000092
376,0.07227790300000092
377,0.07227790300000092
378,0.07810491100000072
379,0.07756481500000079
380,0.07594907900000081
381,0.07594907900000081
382,0.07594907900000081
383,0.07553120700000093
384,0.07553120700000093
385,0.07553120700000093
386,0.07666109500000085
387,0.07412900400000089
388,0.07412900400000089
389,0.07412900400000089
390,0.07412900400000089
391,0.07412900400000089
392,0.07412900400000089
393,0.08155351600000094
394,0.08094121600000093
395,0.08094121600000093
396,0.08094121600000093
397,0.08094121600000093
398,0.08094121600000093
399,0.08094121600000093
400,0.08153480200000085
401,0.12286809400000087
402,0.12286809400000087
403,0.09196540600000103
404,0.09196540600000103
405,0.09196540600000103
406,0.09196540600000103
407,0.09196540600000103
408,0.09196540600000103
409,0.09196540600000103
410,0.09196540600000103
411,0.09196540600000103
412,0.09196540600000103
413,0.09196540600000103
414,0.09196540600000103
415,0.09196540600000103
416,0.09196540600000103
417,0.08429039100000102
418,0.08793356000000108
419,0.08793356000000108
420,0.08793356000000108
421,0.08793356000000108
422,0.08793356000000108
423,0.08793356000000108
424,0.08259617800000107
425,0.08259617800000107
426,0.08259617800000107
427,0.06905023000000088
428,0.06905023000000088
429,0.06905023000000088
430,0.06905023000000088
431,0.06905023000000088
432,0.06905023000000088
433,0.06905023000000088
434,0.06905023000000088
435,0.06905023000000088
436,0.06905023000000088
437,0.06905023000000088
438,0.06905023000000088
439,0.06905023000000088
440,0.08361991900000088
441,0.08361991900000088
442,0.08361991900000088
443,0.08418591900000094
444,0.08418591900000094
445,0.08418591900000094
446,0.08418591900000094
447,0.1022273760000012
448,0.10962949000000122
449,0.10962949000000122
450,0.10962949000000122
451,0.10962949000000122
452,0.10720670500000096
453,0.10720670500000096
454,0.10809476900000115
455,0.10809476900000115
456,0.10809476900000115
457,0.10809476900000115
458,0.10809476900000115
459,0.10809476900000115
460,0.10809476900000115
461,0.10809476900000115
462,0.10809476900000115
463,0.10809476900000115
464,0.10809476900000115
465,0.10809476900000115
466,0.10809476900000115
467,0.10809476900000115
468,0.10809476900000115
469,0.11307058400000125
470,0.11377071200000088
471,0.11321471200000088
472,0.11321471200000088
473,0.11336568600000119
474,0.11293716100000095
475,0.11293716100000095
476,0.11293716100000095
477,0.11293716100000095
478,0.11293716100000095
479,0.11293716100000095
480,0.11293716100000095
481,0.11293716100000095
482,0.11293716100000095
483,0.11293716100000095
484,0.11293716100000095
485,0.11293716100000095
486,0.11293716100000095
487,0.11293716100000095
488,0.11293716100000095
489,0.11293716100000095
490,0.11345277700000089
491,0.1009649170000011
492,0.1009649170000011
493,0.1009649170000011
494,0.1009649170000011
495,0.1009649170000011
496,0.1009649170000011
497,0.1009649170000011
498,0.1009649170000011
499,0.10908885300000115
500,0.11121627300000103
501,0.11121732100000092
502,0.10979741300000101
503,0.10979741300000101
504,0.10979741300000101
505,0.10979741300000101
506,0.12063978100000106
507,0.12063978100000106
508,0.12063978100000106
509,0.10486439300000105
510,0.10486439300000105
511,0.10486439300000105
512,0.10486439300000105
513,0.10486439300000105
514,0.10486439300000105
515,0.10486439300000105
516,0.09949539500000126
517,0.09949539500000126
518,0.09429279500000143
519,0.09429279500000143
520,0.09429279500000143
521,0.09429279500000143
522,0.09429279500000143
523,0.09429279500000143
524,0.09429279500000143
525,0.09041293000000139
526,0.09041293000000139
527,0.08907083300000118
528,0.08795768300000129
529,0.08795768300000129
530,0.08795768300000129
531,0.08795768300000129
532,0.08795768300000129
533,0.08795768300000129
534,0.08795768300000129
535,0.08795768300000129
536,0.08795768300000129
537,0.07816101700000133
538,0.07805503300000116
539,0.07805503300000116
540,0.07805503300000116
541,0.07805503300000116
542,0.07805503300000116
543,0.07805503300000116
544,0.07805503300000116
545,0.07805503300000116
546,0.07805503300000116
547,0.07805503300000116
548,0.07805503300000116
549,0.07805503300000116
550,0.07805503300000116
551,0.07805503300000116
552,0.07805503300000116
553,0.07805503300000116
554,0.08981543200000108
555,0.08981543200000108
556,0.08981543200000108
557,0.08981543200000108
558,0.08981543200000108
559,0.08981543200000108
560,0.08981543200000108
561,0.08981543200000108
562,0.09617833600000103
563,0.09617833600000103
564,0.09617833600000103
565,0.09617833600000103
566,0.09617833600000103
567,0.09617833600000103
568,0.09617833600000103
569,0.09617833600000103
570,0.09617833600000103
571,0.09617833600000103
572,0.09617833600000103
573,0.09617833600000103
574,0.1267017450000012
575,0.12600050100000137
576,0.12600050100000137
577,0.12600050100000137
578,0.12600050100000137
579,0.12600050100000137
580,0.11463613900000102
581,0.11463613900000102
582,0.11463613900000102
583,0.11463613900000102
584,0.11463613900000102
585,0.11463613900000102
586,0.11463613900000102
587,0.11463613900000102
588,0.09275301900000099
589,0.093519134000001
590,0.09503183800000126
591,0.09388704700000128
592,0.09388704700000128
593,0.09388704700000128
594,0.09151245800000107
595,0.09151245800000107
596,0.08980475200000093
597,0.08980475200000093
598,0.09088145100000089
599,0.09190393000000086
600,0.09190393000000086
601,0.09190393000000086
602,0.08719169000000093
603,0.08765565000000075
604,0.08647635000000098
605,0.08769007800000117
606,0.08707792400000103
607,0.08748650000000113
608,0.09203730000000121
609,0.08995974000000118
610,0.08663007600000094
611,0.08933775100000108
612,0.08900978500000112
613,0.08900978500000112
614,0.08717270500000107
615,0.08717270500000107
616,0.08717270500000107
617,0.08717270500000107
618,0.08467904100000112
619,0.08210845300000114
620,0.08210845300000114
621,0.08210845300000114
622,0.08210845300000114
623,0.08210845300000114
624,0.08210845300000114
625,0.08210845300000114
626,0.08210845300000114
627,0.08210845300000114
628,0.08210845300000114
629,0.08210845300000114
630,0.08210845300000114
631,0.08210845300000114
632,0.08210845300000114
633,0.08210845300000114
634,0.08210845300000114
635,0.08210845300000114
636,0.08210845300000114
637,0.08210845300000114
638,0.08210845300000114
639,0.08210845300000114
640,0.08210845300000114
641,0.08210845300000114
642,0.11050772500000128
643,0.11050772500000128
644,0.11050772500000128
645,0.10704761900000137
646,0.10704761900000137
647,0.10704761900000137
648,0.10704761900000137
649,0.10704761900000137
650,0.10704761900000137
651,0.10704761900000137
652,0.10704761900000137
653,0.10704761900000137
654,0.10704761900000137
655,0.10704761900000137
656,0.10704761900000137
657,0.1150160750000011
658,0.1150160750000011
659,0.1150160750000011
660,0.1150160750000011
661,0.1150160750000011
662,0.1150160750000011
663,0.1150160750000011
664,0.1138635280000011
665,0.11396901600000131
666,0.11396901600000131
667,0.11396901600000131
