,prices,profit,signal
137,2975.6490000000003,0.08774390499999951,1.0
138,2965.8990000000003,0.08774390499999951,1.0
139,2968.563,0.08774390499999951,1.0
140,2968.099,0.08774390499999951,1.0
141,2964.5359999999996,0.08774390499999951,1.0
142,2970.73,0.08774390499999951,1.0
143,2970.9440000000004,0.08774390499999951,1.0
144,2968.384,0.08774390499999951,1.0
145,2967.387,0.08774390499999951,1.0
146,2941.2309999999998,0.08774390499999951,1.0
147,2936.566,0.08774390499999951,1.0
148,2936.348,0.08774390499999951,1.0
149,2936.342,0.08774390499999951,1.0
150,2936.342,0.08774390499999951,1.0
151,2936.327,0.08774390499999951,1.0
152,2936.325,0.08774390499999951,1.0
153,2936.325,0.08774390499999951,1.0
154,2936.32,0.08774390499999951,1.0
155,2936.3179999999998,0.08774390499999951,1.0
156,2936.3190000000004,0.08774390499999951,1.0
157,2936.3190000000004,0.08774390499999951,1.0
158,2936.315,0.08774390499999951,1.0
159,2936.3140000000003,0.08774390499999951,1.0
160,2936.312,0.08774390499999951,1.0
161,2936.304,0.08774390499999951,1.0
162,2936.3059999999996,0.08774390499999951,1.0
163,2936.3059999999996,0.08774390499999951,1.0
164,2936.2990000000004,0.08774390499999951,1.0
165,2936.2990000000004,0.08774390499999951,1.0
166,2936.298,0.08774390499999951,1.0
167,2936.298,0.07579346599999925,-1.0
168,2936.298,0.07579346599999925,-1.0
169,2936.298,0.07579346599999925,-1.0
170,2936.298,0.07579346599999925,-1.0
171,2936.298,0.07579346599999925,-1.0
172,2936.298,0.07579346599999925,-1.0
173,2936.298,0.0763431909999992,1.0
174,2936.2990000000004,0.0758174539999994,-1.0
175,2936.2990000000004,0.07633823399999962,1.0
176,2936.296,0.07341349399999975,-1.0
177,2927.05,0.07424106199999958,1.0
178,2935.012,0.07731690199999974,-1.0
179,2941.065,0.08218429099999991,1.0
180,2918.363,0.08218429099999991,1.0
181,2929.2270000000003,0.07385846399999996,-1.0
182,2908.518,0.08343998399999997,1.0
183,2892.7470000000003,0.08343998399999997,1.0
184,2902.815,0.08343998399999997,1.0
185,2896.5290000000005,0.08178088499999991,-1.0
186,2903.801,0.07863427800000022,1.0
187,2911.478,0.07903243800000004,-1.0
188,2907.381,0.08162719200000002,1.0
189,2902.8,0.08162719200000002,1.0
190,2905.592,0.08162719200000002,1.0
191,2908.699,0.08053773200000003,1.0
192,2904.9159999999997,0.08053773200000003,1.0
193,2876.982,0.08053773200000003,1.0
194,2886.954,0.08053773200000003,1.0
195,2874.687,0.08053773200000003,1.0
196,2874.788,0.08053773200000003,1.0
197,2878.574,0.08053773200000003,1.0
198,2870.006,0.06947035900000009,-1.0
199,2864.3920000000003,0.06947035900000009,-1.0
