,price
298,2753.078
299,2750.685
300,2751.765
301,2747.6479999999997
302,2748.336
303,2749.494
304,2762.743
305,2763.8759999999997
306,2773.163
307,2773.163
308,2776.743
309,2766.053
310,2769.4990000000003
311,2751.563
312,2649.308
313,2639.119
314,2649.8540000000003
315,2658.344
316,2657.197
317,2649.546
318,2645.2259999999997
319,2649.836
320,2652.423
321,2652.355
322,2658.3709999999996
323,2658.236
324,2668.7090000000003
325,2660.208
326,2656.191
327,2654.197
328,2645.112
329,2643.949
330,2643.098
331,2630.583
332,2640.772
333,2641.616
334,2637.09
335,2639.7729999999997
336,2638.778
337,2633.651
338,2635.4559999999997
339,2642.417
340,2647.393
341,2654.042
342,2655.491
343,2662.1409999999996
344,2665.348
345,2664.215
346,2666.8979999999997
347,2678.3920000000003
348,2674.395
349,2678.5440000000003
350,2680.534
351,2674.539
352,2672.567
353,2670.698
354,2675.6740000000004
355,2669.051
356,2671.1620000000003
357,2555.71
358,2560.169
359,2565.731
360,2587.726
361,2574.563
362,2576.6820000000002
363,2581.357
364,2577.3720000000003
365,2577.2670000000003
366,2576.5589999999997
367,2570.833
368,2576.2329999999997
369,2568.842
370,2565.5660000000003
371,2562.014
372,2566.14
373,2562.856
374,2564.996
375,2563.146
376,2557.0029999999997
377,2554.156
378,2547.018
379,2543.322
380,2547.1620000000003
381,2551.134
382,2556.669
383,2551.5460000000003
384,2547.706
385,2553.394
386,2556.0820000000003
387,2549.3920000000003
388,2549.071
389,2536.252
390,2533.131
391,2524.132
392,2524.129
393,2524.135
394,2524.096
395,2524.094
396,2524.094
397,2524.094
398,2524.094
399,2524.094
400,2524.084
401,2524.077
402,2660.283
403,2649.82
404,2633.3779999999997
405,2631.836
406,2642.2209999999995
407,2638.187
408,2633.902
409,2642.7059999999997
410,2631.5959999999995
411,2631.2129999999997
412,2628.3259999999996
413,2628.405
414,2623.262
415,2615.612
416,2606.812
417,2614.112
418,2625.803
419,2604.245
420,2602.004
421,2601.176
422,2599.3379999999997
423,2606.306
424,2598.843
425,2610.641
426,2621.587
427,2630.458
428,2648.54
429,2664.345
430,2664.3790000000004
431,2679.322
432,2679.825
433,2683.51
434,2683.514
435,2683.514
436,2683.805
437,2683.8940000000002
438,2683.914
439,2683.9240000000004
440,2683.9440000000004
441,2683.941
442,2683.744
443,2683.9309999999996
444,2683.9440000000004
445,2683.881
446,2683.934
447,2759.763
448,2753.502
449,2732.961
450,2741.301
451,2748.704
452,2747.5170000000003
453,2747.0009999999997
454,2749.607
455,2746.048
456,2749.6459999999997
457,2752.45
458,2762.364
459,2766.893
460,2767.9040000000005
461,2768.4959999999996
462,2769.643
463,2769.261
464,2768.0690000000004
465,2768.8340000000003
466,2768.0690000000004
467,2768.305
468,2768.684
469,2769.066
470,2769.066
471,2768.492
472,2769.066
473,2769.448
474,2769.941
475,2769.923
476,2769.949
477,2769.9640000000004
478,2769.9640000000004
479,2769.9640000000004
480,2769.9640000000004
481,2769.972
482,2769.972
483,2769.973
484,2769.973
485,2769.969
486,2769.966
487,2769.969
488,2769.973
489,2769.973
490,2769.973
491,2769.973
492,2724.849
493,2716.9759999999997
494,2736.4509999999996
495,2736.263
496,2747.975
497,2738.175
498,2739.176
499,2735.98
500,2739.989
501,2746.008
502,2741.985
503,2742.67
504,2729.7009999999996
505,2740.715
506,2731.216
507,2701.632
508,2686.243
509,2675.712
510,2676.47
511,2694.511
512,2696.562
513,2693.185
514,2699.012
515,2713.739
516,2706.772
517,2696.7509999999997
518,2701.27
519,2688.762
520,2687.518
521,2698.469
522,2705.946
523,2706.485
524,2706.475
525,2724.3940000000002
526,2717.9109999999996
527,2716.0559999999996
528,2721.047
529,2722.5809999999997
530,2704.28
531,2712.555
532,2715.002
533,2712.585
534,2711.797
535,2706.81
536,2701.312
537,2683.2859999999996
538,2684.325
539,2685.67
540,2708.659
541,2712.656
542,2728.593
543,2732.383
544,2726.325
545,2720.6679999999997
546,2732.653
547,2733.6740000000004
548,2731.6820000000002
549,2744.305
550,2746.65
551,2737.261
552,2728.9309999999996
553,2728.9590000000003
554,2730.663
555,2727.302
556,2730.933
557,2735.27
558,2736.9709999999995
559,2727.9759999999997
560,2728.298
561,2715.317
562,2713.961
563,2709.6090000000004
564,2663.616
565,2616.965
566,2636.3379999999997
567,2634.324
568,2631.011
569,2628.7009999999996
570,2632.357
571,2633.725
572,2639.344
573,2631.022
574,2592.762
575,2593.758
576,2592.44
577,2613.68
578,2613.3
579,2631.2490000000003
580,2622.375
581,2636.637
582,2586.726
583,2586.6079999999997
584,2551.9539999999997
585,2555.264
586,2550.144
587,2544.825
588,2550.804
589,2546.221
590,2550.2070000000003
591,2553.197
592,2555.888
593,2555.594
594,2551.6079999999997
595,2547.308
596,2547.9970000000003
597,2559.5789999999997
598,2555.808
599,2553.598
600,2554.195
601,2554.195
602,2539.1820000000002
603,2539.8379999999997
604,2539.525
605,2537.907
606,2537.221
607,2537.88
608,2537.877
609,2554.56
610,2547.041
611,2545.424
612,2539.266
613,2546.261
614,2548.385
615,2548.07
616,2539.31
617,2543.721
618,2538.596
619,2542.0170000000003
620,2549.744
621,2553.743
622,2584.857
623,2605.565
624,2632.3940000000002
625,2661.6409999999996
626,2665.033
627,2689.239
628,2689.87
629,2687.183
630,2674.5359999999996
631,2681.171
632,2686.5
633,2677.55
634,2683.2309999999998
635,2681.902
636,2686.8340000000003
637,2683.866
638,2682.528
639,2681.862
640,2662.228
641,2642.638
642,2657.908
643,2641.6090000000004
644,2632.9559999999997
645,2649.9190000000003
646,2670.145
647,2681.51
648,2685.137
649,2683.8179999999998
650,2684.1479999999997
651,2685.467
652,2692.0879999999997
653,2689.505
654,2672.914
655,2674.54
656,2679.26
657,2679.145
658,2676.513
659,2676.473
660,2675.172
661,2678.1279999999997
662,2682.4440000000004
663,2679.143
664,2681.79
665,2684.758
666,2684.137
667,2678.8259999999996
668,2678.1859999999997
669,2673.847
670,2672.853
671,2671.534
672,2764.1240000000003
673,2739.558
674,2729.921
675,2723.962
676,2720.61
677,2702.028
678,2700.386
679,2690.008
680,2701.2909999999997
681,2692.0409999999997
682,2689.6690000000003
683,2687.313
684,2692.6440000000002
685,2700.265
686,2685.9840000000004
687,2676.658
688,2681.9570000000003
689,2676.992
690,2671.685
691,2682.968
692,2681.975
693,2674.006
694,2693.953
695,2676.6940000000004
696,2667.011
697,2675.975
698,2657.993
699,2628.0029999999997
700,2618.722
701,2625.0240000000003
702,2631.6740000000004
703,2636.657
704,2640.9790000000003
705,2632.349
706,2633.006
707,2626.703
708,2631.026
709,2630.0370000000003
710,2639.715
711,2664.651
